Üretici,Kök_Neden_TR,Çözüm_TR
BLUE BIRD,"Blue Bird Body Company (Blue Bird), 2018-2021 All-American ve 2019-2021 Vision okul otobüslerinden bazılarını geri çağırıyor.  Üç noktalı emniyet kemeri tertibatı, bağlantı noktasında zeminin altına takviye pulları olmadan takılmış olabilir, bu da muhtemelen bir çarpışma durumunda tertibatın sabit kalmasını önler.  Bu nedenle, bu araçlar 210 numaralı Federal Motorlu Taşıt Güvenlik Standardı ""Emniyet Kemeri Montaj Bağlantıları""na uymamaktadır.","Blue Bird, araç sahiplerini bilgilendirecek ve bayiler emniyet kemeri bağlantı noktası donanımını inceleyecek ve eksik donanım varsa ücretsiz olarak takacak.  Bu geri çağırma 11 Ağustos 2020'de başladı. Araç sahipleri, 1-478-822-2242 numaralı telefondan Blue Bird müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için Blue Bird'ün numarası R20AX'tir."
ISUZU,"Isuzu Motors Limited (Isuzu), Mobileye Çarpışma Uyarı Sistemi ile donatılmış bazı 2019-2024 FTR, 2020-2024 Chevrolet LCF 6500XD, 2022-2024 FVR ve 2023-2024 Chevrolet LCF 7500XD araçlarını geri çağırıyor.  Mobileye kamera kablosu yanlış yönlendirilmiş olabilir, bu da kabloların hasar görmesine ve elektrik devresinde aşırı yüklenmeye neden olabilir.","Bayiler, Mobileye kamera kablosunu inceleyecek ve yeniden yönlendirecek veya gerekiyorsa Mobileye kamera kablosunu ve T-demetini ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 08 Nisan 2024'te gönderildi. Araç sahipleri 1-866-441-9638 numaralı telefondan Isuzu müşteri hizmetleriyle iletişime geçebilir.  Isuzu'nun bu geri çağırma numarası V2401'dir."
LINCOLN,"Ford Motor Company (Ford), belirli 2015-2019 Lincoln MKC, Mustang, F-350 SD, F-250 SD, F-450 SD, 2015-2017 Lincoln Navigator, Expedition, 2015-2018 Edge, Transit Connect, 2016-2019 F-550 SD, Transit, 2017-2019 Econoline ve 2019 Ranger araçları. Araç geri vitesteyken arka görüş kamerası bozuk, ters veya boş bir görüntü gösterebilir.","Bayiler, arka görüş kamerasını gerektiği gibi ücretsiz olarak inceleyecek ve değiştirecektir. Sahiplere güvenlik riskini bildiren geçici mektuplar 29 Eylül 2025'te gönderildi. Çözüm mevcut olduğunda ek mektuplar postalanacak. Ford sahipleri, Aralık 2025 ve Mayıs 2026'dan itibaren aşamalı olarak mektuplar alacak. Araç sahipleri, 1-866-436-7332 numaralı telefondan Ford müşteri hizmetleriyle iletişime geçebilir. Ford'un bu geri çağırma numarası 25S89'dur. Bu geri çağırma, önceki NHTSA geri çağırma numarası olan 25V270'i genişletiyor. Bu geri çağırmaya dahil olan Araç Kimlik Numaraları (VIN'ler), 8 Eylül 2025'ten itibaren NHTSA.gov'da aranabilecek."
GEORGIE BOY,"COACHMEN, BOSCH ZOP'LAR VEYA ZOHT PİM KAYARLI HİDROLİK DİSK FRENLER İÇEREN DİNGİLLERLE DONATILMIŞ 2.555 2000-2009 GEORGIE BOY VE COACHMEN REKLAM RÖMORKLARINI GERİ ÇAĞIRIYOR. ARACIN ARA ZAMAN VEYA MEVSİMLİK ÇALIŞTIRILMASI İLE BİRLEŞTİRİLDİĞİNDE, KUMPASLARIN UYGULANAN KONUMDA YAPIŞMASI OLABİLİR. BU, TEKERLEK UÇUNDA ANORMAL ISI ÜRETİMİNE VE FREN SÜRÜKLENMESİNE NEDEN OLABİLİR.  SÜRÜCÜ, SÜRÜCÜ TARAFINDAN ALGILANMADIĞI TAKDİRDE, NORMALDE FREN SÜRÜKLENMESİ UYARISI ALACAKTIR.","BAYİLER GEREKLİ PARÇALARI ÜCRETSİZ OLARAK KONTROL EDECEK VE DEĞİŞTİRECEKTİR.  WORKHORSE BU KAMPANYA İÇİN ÇÖZÜMÜ ELDE EDİYOR LÜTFEN 09V-110'A BAKIN.  ÜRETİCİ HENÜZ SAHİBİ BİLDİRİM TAKVİMİ SAĞLAMAMIŞTIR.  SAHİPLER 1-877-246-7731 numaralı telefondan WORKHORSE VEYA 1-574-266-4030, seçenek 5 numaralı telefondan COACHMEN İLE İLETİŞİME GEÇEBİLİR."
LEXUS,"Toyota, 23 Ağustos 2005 ile 5 Ekim 2011 tarihleri ​​arasında üretilen 2006-2012 model yılı Lexus IS250 ve IS350 araçlarını geri çağırıyor; 10 Nisan 2009'dan 6 Ekim 2011'e kadar üretilen 2010-2012 Lexus IS250C ve IS350C araçları; ve 14 Aralık 2007'den 10 Temmuz 2011'e kadar üretilen 2008-2011 Lexus IS-F araçları. Silecek kollarını sabitleyen somunlar, silecek kollarının yoğun kar birikmesi gibi harici bir yük nedeniyle kısıtlanması durumunda sileceklerden biri veya her ikisi de çalışmaz hale gelebilecek şekilde yeterince torklanmış olabilir.",Toyota araç sahiplerini bilgilendirecek ve Lexus bayileri yeni silecek kolu somunlarını ücretsiz olarak takacak.  Araç sahiplerine 4 Nisan 2013 tarihinde geçici bir mektup gönderildi. Araç sahipleri 1-800-331-4331 numaralı telefondan Toyota ile iletişime geçebilir.
FCCC,"Daimler Trucks North America LLC (DTNA), belirli 2018 Freightliner Custom Chassis XBP, 2017-2020 XBR, 2017-2022 XBS, 2016-2019 XCL, 2016-2023 XCM, 2017-2021 XCP, 2016-2023 XCR ve 2017-2023 XCS eğlence aracı şasisi.  Arkaya monte edilen Güç Dağıtım Modülünde (PDM) dahili hasar bulunabilir ve bu durum arka işaret lambalarının, fren lambalarının veya dönüş sinyallerinin çalışmamasına neden olabilir.","Bayi, ücretsiz olarak ikincil bir sigortalı donanım takacaktır.  Sahip bildirim mektupları 18 Mart 2022'de gönderildi. Sahipler 1-800-547-0712 numaralı telefondan DTNA müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için DTNA'nın numarası FL917'dir.  Bu geri çağırma, NHTSA'nın 20V-404 ve 18V-502 geri çağırmalarının bir uzantısıdır.  Daha önce geri çağrılan araçların, mevcut olduğunda yeni çözüm onarımını alması gerekecektir."
FERRARI,"Ferrari North America, Inc. (Ferrari), 2005-2009 430, 2019-2020 488 Pista, 2016 F60 America, 2005-2011 612 Scaglietti, 2010-2011 612, 2018-2022 812, 2020-2022 modellerini geri çağırıyor F8 Spider, 2020-2022 F8 Tributo, 2021-2022 Roma, 2009-2017 Kaliforniya, 2015-2017 Kaliforniya T, 2013-2017 F12 Berlinetta, 2017 F12 TDF, 2012-2016 FF, 2017-2020 GTC4 Lusso, 2018-2020 GTC4 Lusso T, 2013-2015 LaFerrari, 2017 LaFerrari Aperta ve 2019-2022 Portofino araçları.  Fren hidroliği deposu kapağı düzgün bir şekilde havalandırılmayabilir, fren hidroliği deposu içinde bir vakum oluşturabilir ve bu da fren fonksiyonunun kısmen veya tamamen kaybolmasına yol açabilecek fren hidroliği sızıntısına neden olabilir.","Bayiler, fren hidroliği haznesi kapağını değiştirecek ve düşük fren hidroliği için yeni bir uyarı mesajı sağlayacak şekilde yazılımı ücretsiz olarak güncelleyecek.  Sahipleri güvenlik riski konusunda bilgilendiren geçici sahip bildirim mektupları 22 Eylül 2022'de postalandı. Sahip bildirim mektupları 29 Kasım 2022'de postalandı. Araç sahipleri, 1-201-816-2668 numaralı telefondan Ferrari müşteri hizmetleriyle iletişime geçebilir.  Ferrari'nin bu geri çağırma numarası RC 80'dir. Bu geri çağırma, NHTSA geri çağırma numarası 21V-833'ün genişletilmesidir."
FORTUNE,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
SPARTAN,"Marion Body Works Inc. (Marion Body Works), pnömatik kontrollü otomatik lastik zinciri sistemleriyle donatılmış bazı 2005-2020 Acil Durum Müdahale Gladyatörü ve Metrostar araçlarını geri çağırıyor.  Hava basıncı kontrol hatları basınca karşı korumalı olmayabilir.","Marion Body Works, sahiplere bildirimde bulunacak ve bayiler, kontrol hatlarının yönlendirmesini inceleyecek ve gerektiğinde bunları ücretsiz olarak yardımcı hava deposuna yeniden yönlendirecek.  Geri çağırma 22 Kasım 2019'da başladı. Araç sahipleri, 1-715-754-5261 numaralı telefondan Marion Body Works müşteri hizmetleriyle veya 1-800-543-5008 numaralı telefondan Spartan müşteri hizmetleriyle iletişime geçebilir."
PORSCHE,"Porsche Cars North America, Inc. (Porsche) belirli 2021-2024 Taycan, 2020-2024 Taycan 4S, Taycan Turbo, 2021-2023 Taycan 4 Cross Turismo, 2022-2023 Taycan 4S Cross Turismo, Taycan Turbo S Cross Turismo, 2023 Taycan Turbo Cross Turismo, 2022-2024 Taycan GTS, Taycan GTS Sport Turismo ve 2020-2023 Taycan Turbo S araçları.  Yüksek voltajlı akü, akü modülleri içinde kısa devre yaşayabilir.","Araç sahiplerine, onarım tamamlanana kadar araçlarını yalnızca maksimum %80 akü kapasitesiyle şarj etmeleri tavsiye ediliyor.  Bayiler akü verilerini analiz edecek ve gerektiğinde yüksek gerilim akü modüllerini ücretsiz olarak değiştirecek.  Sahip bildirim mektupları 9 Ekim 2024'te postalandı. Araç sahipleri, 1-800-767-7243 numaralı telefondan Porsche müşteri hizmetleriyle iletişime geçebilir.  Porsche'nin bu geri çağırmaya ilişkin numarası ARA5'tir."
FORD,"New England Wheels (New England), Ricon Corporation tarafından üretilen belirli S2005, S2010, S5005, S5010, S5505 ve S5510 tekerlekli sandalye asansörleriyle donatılmak üzere New England tarafından modifiye edilen belirli 2006-2014 model yılı E-250 ve E-350 araçlarını geri çağırıyor.  Etkilenen tekerlekli sandalye asansörlerinin platform yan plakası çatlayabilir.","New England, sahiplerini, araçları ek platform destek tamponları takacak bir Ricon bayisine veya servis merkezine götürmeleri konusunda bilgilendirecek.  Zaten çatlamaya başlamış olan platformlar ücretsiz olarak değiştirilecektir.  Geri çağırma 17 Kasım 2014'te başladı. Araç sahipleri 1-800-886-9247 numaralı telefondan New England müşteri hizmetleriyle veya 1-800-322-2884 numaralı telefondan Ricon müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için New England'ın numarası 14E-041'dir."
LEXUS,"Toyota Motor Engineering & Manufacturing (Toyota), 2010-2016 4Runner, 2003-2006 Tundra, 2003-2013 Corolla, 2009-2010 Corolla Matrix, 2004-2005 RAV4, 2002-2007 Sequoia, 2011-2013 Sienna'yı geri çağırıyor. 2008-2012 Scion xB, 2008-2009 Lexus IS-F, 2007-2012 Yaris ve Lexus ES350, 2010-2017 Lexus GX460, 2002-2010 Lexus SC430, 2006-2012 Lexus IS250 ve IS350 ve 2010-2015 Lexus IS250C ve IS350C araçları.    Bu araçların sürücü veya yolcu ön hava yastığı şişiricileri, önceden geri çağırma kapsamında aynı tasarımdaki şişiriciler kullanılarak değiştirilmişti.  Şişiriciler, yüksek mutlak neme, sıcaklığa ve sıcaklık döngüsüne uzun süre maruz kaldıktan sonra meydana gelen itici gazın bozulması nedeniyle patlayabilir.","Toyota sahiplerini bilgilendirecek.  Araç modeline bağlı olarak bayiler, ön sürücü şişiricisini, ön yolcu hava yastığı şişiricisini, hava yastığı grubunu veya ön yolcu hava yastığı alt grubunu ve şişiricisini değiştirecektir.  Geri çağırma 20 Kasım 2019'da başladı. Araç sahipleri 1-888-270-9371 numaralı telefondan Toyota müşteri hizmetleriyle veya 1-800-255-3987 numaralı telefondan Lexus müşteri hizmetleriyle iletişime geçebilir.  Toyota'nın bu geri çağırmaya ilişkin numaraları J0A, J0B ve J0C'dir.  Lexus'un bu geri çağırmaya ilişkin numaraları JLI, JLJ ve JLK'dir."
VOLVO,"YAKIT HATTI ARKASINDA BULUNAN YAKIT DAMPERİ VE YAKIT RAYI YANLIŞ MONTE EDİLMİŞ OLABİLİR. ZAMANLA, LEHİM BAĞLANTILARI KÜÇÜK MİKTARDA YAKIT SIZMASINA İZİN VEREBİLİR.",YAKIT DAMPERİNİ DEĞİŞTİRİN.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
SPARTAN,"Spartan Motors Chassis, Inc. (Spartan), 2014-2015 Gladiator acil durum araçlarını, 2013-2014 Metrostar acil durum araçlarını, 2015 karavan şasilerini ve 2015 okul otobüsü şasilerini belirli model yıllarına geri çağırıyor.  Bu araçlardaki Cummins ISB veya ISL motorları, FF63009 parça numaralı Fleetguard UFF-XT yakıt filtreleriyle donatılmış olabilir; bu filtrenin filtre kabuğu, yakıt filtresi somun plakasından ayrılarak motorun uyarı vermeden durmasına neden olabilir.","Spartan, son aşamadaki üreticilere bilgi verdi ve Cummins, etkilenen yakıt filtrelerini ücretsiz olarak değiştirecek.  Geri çağırma Ağustos 2014'te başladı. Araç sahipleri 1-517-543-6400 numaralı telefondan Spartan müşteri hizmetleriyle iletişime geçebilir.  Sahipler ayrıca 1-800-223-4583 numaralı telefondan Cummins müşteri hizmetleriyle iletişime geçebilir."
LAND ROVER,"Jaguar Land Rover North America, LLC (Land Rover), 2021 Range Rover, 2022 Range Rover Sport, 2020-2021 Range Rover Velar, Discovery Sport, 2020-2022 Discovery ve Defender araçlarını geri çağırıyor.  Emniyet kemeri otomatik kilitleme toplayıcıları erken devre dışı kalabilir ve bu da çocuk emniyet sisteminin düzgün şekilde sabitlenmesini engelleyebilir.",Bayiler emniyet kemeri düzeneklerini gerektiği şekilde ücretsiz olarak inceleyecek ve değiştirecektir.  Sahip mektupları 20 Ekim 2021'de postalandı. Araç sahipleri 1-800-637-6837 numaralı telefondan Land Rover müşteri hizmetleriyle iletişime geçebilir.  Land Rover'ın bu geri çağırma numarası N630'dur.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
HOLIDAY RAMBLER,"Monaco RV, LLC (Monaco), Fastec marka kapı kilitleriyle donatılmış 2008-2013 model yılı bazı eğlence araçlarını geri çağırıyor.  Anahtarın sürgüyü sıkıştıracak şekilde kilitten çıkarılması mümkün olabilir.","Monaco, sahipleri bilgilendirecek ve Fastec, silindirlerin muayenesini ve gerektiğinde değiştirilmesini ücretsiz olarak koordine edecek.  Geri çağırma 17 Şubat 2014'te başladı. Araç sahipleri 1-877-466-6226 numaralı telefondan Monaco veya 1-800-837-2505 numaralı telefondan Fastec ile iletişime geçebilir."
PRINX,"Prinx Chengshan Tire North America, Inc. (PCTNA), yedek lastik olarak satılan bazı Fortune Tormenta ve Prinx Hicountry'yi geri çağırıyor.  Belirli boyutlar için lütfen 573 Güvenlik Raporuna bakın.  Lastikler kar lastiği olarak etiketlenir ancak her türlü karlı hava koşulunda yeterli çekiş gücüne sahip değildir.  Dolayısıyla bu lastikler, Federal Motorlu Taşıt Güvenlik Standardı 139 numaralı ""Hafif Araçlar için Yeni Pnömatik Radyal Lastikler"" gerekliliklerine uymamaktadır.","Bayiler, ücretsiz olarak muayene edecek ve onaracak veya gerektiğinde müşterilere tamamen geri ödeme yapacaktır.  Sahip bildirim mektupları 27 Ocak 2025'te gönderildi. Sahipler, 1-855-544-4891 numaralı telefondan PCTNA müşteri hizmetleriyle iletişime geçebilir."
VOLVO,"ARAÇ TANIMI: SATIŞ SONRASI ALÜMİNYUM ÇİFT TEKERLEKLERLE DONATILMIŞ AĞIR HİZMET KAMYONLARI, 22.5X8.25, TEK PARÇA, TUBELSİZ, ACCUIDE/AKW TARAFINDAN TEDARİK EDİLİR.  PROSES KOŞULLARIYLA BİRLİKTE BELİRLİ TASARIM REVİZYONLARI BU TEKERLEKLERDE YORULMA ÇATLAKLARINA NEDEN OLDU.",ACCURIDE/AKW BU TEKERLEKLERİ DEĞİŞTİRECEKTİR.
FORD,"Ford Motor Company (Ford), 2.5L HEV veya PHEV motorlarla donatılmış bazı 2020-2022 Escape, 2021-2022 Lincoln Corsair ve 2022 Maverick araçlarını geri çağırıyor.  Motor arızası durumunda, motor yağı ve yakıt buharı motor bölmesine yayılabilir ve sıcak motor veya egzoz parçaları gibi ateşleme kaynaklarının yakınında birikerek muhtemelen motor bölmesinde yangına neden olabilir.","Beklenmedik motor sesleri duymaları, araç gücünde azalma fark etmeleri veya duman görmeleri halinde, araç sahiplerine mümkün olan en kısa sürede motoru park etmeleri ve kapatmaları tavsiye edilir.  Bayiler motor altı korumasını ve aktif ızgara kapağını ücretsiz olarak değiştirecektir.  Sahip bildirim mektupları 19 Ağustos 2022'de postalandı. Araç sahipleri 1-866-436-7332 numaralı telefondan Ford müşteri hizmetleriyle iletişime geçebilir.  Ford'un bu geri çağırma numarası 22S47'dir."
THOMAS BUILT BUSES,"Daimler Trucks North America, LLC (DTNA), ISL veya L9 motorla donatılmış bazı 2016-2021 Thomas Build Buses Saf-T-Liner HDX transit otobüslerini geri çağırıyor.  Servo direksiyon hortumu, hortum ile güç kabloları arasında yetersiz açıklık kalacak şekilde yönlendirilmiş olabilir ve bu da hidrolik direksiyon hortumuna zarar verme potansiyeline sahiptir.","DTNA, hidrolik direksiyon hortumu güzergahını inceleyecek ve gerektiği şekilde ücretsiz olarak değiştirecektir.  Sahip bildirim mektuplarının 17 Ekim 2021'de postalanması bekleniyor. Sahipler, 1-800-547-0712 numaralı telefondan DTNA'nın müşteri hizmetleriyle iletişime geçebilir.  Bu geri çağırma için DTNA'nın numarası FL898'dir."
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2017-2022 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, AMG GT-Class, C-Class, E-Class, S-Class, SL-Class, GLC-Class, CLS-Class, GLB-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  İletişim modülünün SIM kart yazılımındaki bir hata, mobil ağ bağlantısı hatasına neden olarak acil çağrı (eCall) sistemini devre dışı bırakabilir.","İletişim modülü yazılımı, Over-the-Air (OTA) güncellemesi yoluyla veya bir bayi tarafından ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 8 Temmuz 2022'de postalandı. Sahip bildirim mektupları 8 Temmuz 2022, 17 Mayıs 2024, 29 Temmuz 2024 ve 27 Eylül 2024'te aşamalı olarak postalanacak. Sahipler 1-800-367-6372 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numaraları 2022060005 ve 2023110006'dır."
AUTOCAR,"Autocar, LLC, 16 Kasım 2004 ile 10 Eylül 2012 tarihleri ​​arasında üretilen 2005-2013 model yılı ACX, WX ve WXLL kamyonlarını geri çağırıyor. Etkilenen araçlarda, havalı fren sistemleri, gerekli hava tankı tahliye valfi olmadan inşa edildi.  Bu nedenle bu araçlar Federal Motorlu Taşıt Güvenlik Standardı (FMVSS) No. 121 ""Havalı Fren Sistemleri"" gerekliliklerine uymamaktadır.",Autocar araç sahiplerini bilgilendirecek ve bayiler araçları ücretsiz olarak onaracak. Geri çağırma 27 Haziran 2013'te başladı. Araç sahipleri 1-765-489-5499 numaralı telefondan Autocar ile iletişime geçebilir.  Autocar'ın geri çağırma kampanya numarası A-1302'dir.
INTERNATIONAL,"BAZI KAMYONLARDA, A DİREĞİNE MONTE EDİLEN GİRİŞ/ÇIKIŞ TUTAMA KOLU GEVŞEYEBİLİR VE MUHTEMEL OLARAK ARAÇTAN AYRILABİLİR.",BAYİLER KABİN GİRİŞİ/ÇIKIŞ TUTUCU KOLUNU DEĞİŞTİRECEKTİR.  GERİ ÇAĞIRMA 16 ŞUBAT 2007'DE BAŞLADI. SAHİPLER INTERNATIONAL ile 1-800-448-7825 numaralı telefondan iletişime geçebilirler.
TRIUMPH,"TRIUMPH, 356 MY 2008 ROKET III TUR MOTOSİKLETİNİ FEDERAL MOTORLU ARAÇ GÜVENLİK STANDARDI NO. 120, ""BİNEK ARAÇLAR DIŞINDAKİ MOTORLU TAŞITLAR İÇİN LASTİK SEÇİMİ VE JANTLAR"" VE BÖLÜM 567, ""SERTİFİKASYON.""    SOL ÖN ÇERÇEVE BORUSUNDA BULUNAN SERTİFİKA ETİKETİ, LASTİK EBATLARI VE BASINÇLARI İLE İLGİLİ YANLIŞ BİLGİLERİN YANI SIRA YANLIŞ BRÜT AĞIRLIK DEĞERLENDİRMESİ (GVWR) İÇERMEKTEDİR.",BAYİLER YENİ BİR SERTİFİKA ETİKETİ TAKACAKTIR.  GERİ ÇAĞIRMA 23 NİSAN 2008'DE BAŞLADI. SAHİPLER TRIUMPH ile 1-678-539-8782 numaralı telefondan iletişime geçebilirler.
SCION,"Toyota Motor Engineering & Manufacturing (Toyota), Toyota tarafından 2008-2015 Scion xB ve 2011-2016 Scion tC araçları için isteğe bağlı aksesuar olarak satılan PTR09-21111 ve PTR09-52080 parça numaralı bazı Toyota Racing Development (TRD) fren kitlerini geri çağırıyor.  Zamanla bu kitlerdeki fren hortumları yorulabilir ve arızalanabilir.","Toyota, ilgili isteğe bağlı TRD Fren Kitinin takılabileceği Scion xB ve Scion tC araçlarının bilinen tüm sahiplerini bilgilendirecektir.  Araçta TRD fren kitlerinden biri varsa, standart donanım fren kitiyle ücretsiz olarak değiştirilecektir.  Geri çağırma 16 Kasım 2018'de başladı. Araç sahipleri 1-888-270-9371 numaralı telefondan Toyota müşteri hizmetleriyle iletişime geçebilir.  Toyota'nın bu geri çağırma numarası J0U'dur."
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2017-2022 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, AMG GT-Class, C-Class, E-Class, S-Class, SL-Class, GLC-Class, CLS-Class, GLB-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen MBUSA'nın geri çağırma raporuna bakın.  İletişim modülünün SIM kart yazılımındaki bir hata, mobil ağ bağlantısı hatasına neden olarak acil çağrı (eCall) sistemini devre dışı bırakabilir.","İletişim modülü yazılımı, Over-the-Air (OTA) güncellemesi yoluyla veya bir bayi tarafından ücretsiz olarak güncellenecektir.  Sahip bildirim mektupları 8 Temmuz 2022'de postalandı. Sahip bildirim mektupları 8 Temmuz 2022, 17 Mayıs 2024, 29 Temmuz 2024 ve 27 Eylül 2024'te aşamalı olarak postalanacak. Sahipler 1-800-367-6372 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numaraları 2022060005 ve 2023110006'dır."
BLUE BIRD,"Blue Bird Body Company (Blue Bird), 2009-2015 model yılına ait belirli model yıllarını geri çağırıyor 8 Aralık 2008 ile 15 Kasım 2013 tarihleri ​​arasında üretilen ve belirli Cummins Westport Model ISL G motorlarla donatılmış tüm Amerikan arkadan motorlu okul otobüsleri.  Emme manifoldundaki yoğuşma, soğuk hava koşullarında donabilir ve emme manifoldu basınç sensörünün düzgün çalışmasına engel olabilir.",Cummins ve Cummins Westport sahiplerini bilgilendirecek ve yetkili Cummins servis tesisleri ücretsiz olarak yeni bir ECM kalibrasyonu yükleyecektir.  Geri çağırma 12 Nisan 2014'te başladı. Müşteriler Blue Bird ile 1-478-822-2242 numaralı telefondan veya Cummins Inc. ile 1-800-343-7357 numaralı telefondan iletişime geçebilir.  Bu geri çağırma için Blue Bird'ün numarası R14XB'dir.
MERCEDES-BENZ,"Mercedes-Benz USA, LLC (MBUSA), 2016 - 2021 CLA-Class, GLA-Class, GLE-Class, GLS-Class, SLC-Class, A-Class, GT-Class, C-Class, E-Class, S-Class, CLS-Class, SL-Class, B-Class, GLB-Class, GLC-Class ve G-Class araçlarını geri çağırıyor.  Belirli araç modeli ayrıntıları için lütfen Bölüm 573 raporuna bakın.  İletişim modülünün yazılım tasarımı, bir çarpışma durumunda acil çağrı sistemi (eCall) için doğru araç konumunu iletmede başarısız olabilir.",MBUSA sahipleri bilgilendirecek ve iletişim modülü yazılımı bir satıcı tarafından veya kablosuz (OTA) güncelleme yoluyla ücretsiz olarak güncellenecektir.  Geri çağırma 12 Mart 2021'de başladı. Araç sahipleri 1-877-762-8267 numaralı telefondan MBUSA müşteri hizmetleriyle iletişime geçebilir.  MBUSA'nın bu geri çağırmaya ilişkin numarası 2021020025'tir.
FORD,"Ford Motor Company (Ford), bazı 2020 Ford F-150, F-250, F-350, F-450, F-550, Explorer, Mustang, Transit, Expedition, Escape, Ranger ve Edge ile Lincoln Nautilus ve Corsair araçlarını geri çağırıyor.  Zayıf elektrik bağlantısı nedeniyle arka görüş kamerası aralıklı olarak boş veya bozuk bir görüntü gösterebilir.  Dolayısıyla bu araçlar, Federal Motorlu Taşıt Güvenlik Standardı'nın (FMVSS) 111 numaralı ""Arka Görünürlük"" gerekliliklerine uymuyor.",Ford araç sahiplerini bilgilendirecek ve bayiler arka görüş kamerasını ücretsiz olarak değiştirecek.  Geri çağırma 17 Kasım 2020'de başladı. Çözüm 1 Şubat 2021'de kullanıma sunuldu. Araç sahibi bildirim mektupları 1 Şubat 2021'de postalandı. Araç sahipleri 1-866-436-7332 numaralı telefondan Ford müşteri hizmetleriyle iletişime geçebilir.  Ford'un bu geri çağırma numarası 20C19'dur.
